amenities,area,bathrooms,bedrooms,description,link,ownership,price,property_age,property_type,reference,service_charge,size,tags,title,trakheesi_permit
"
                      Unfurnished,
Balcony,
Central A/C,
Covered Parking,
Maids Room,
Pets Allowed,
Shared Gym,
Shared Pool,
View of Landmark,
View of Water",Al Anbara,2,"1
									+
					Maid			","New to market is this high floor two bedroom apartment located in Al Anbara, Shoreline Apartments.
- Two Beds + Maids
- Type E 
- 1582 Sq.ft
- High Floor
- Partial Sea Views
- Shoreline 12
- Close to Nakheel Mall
- Private Beach Access
- Rented Apartment
Located on the left side of the Shoreline Apartments is this high floor 2 bedroom Type E apartment. Features include spacious living room with dining area, fitted kitchen, maids room and guest WC. The apartment also boasts partial sea views, whilst residents can enjoy direct beach club access, including residents pool and gym. Nakheel Mall, Golden Mile Galleria and West Beach are all just a short walk away, The apartment is currently rented.
For more information or to arrange a viewing please call;
Chris Michaelides | Senior Sales Broker
Mobile No: | +971508670355
Arabian Estates is a Real Estate Agency based in Dubai. With a team of experienced and service minded agent ready to help clients buy, sell and rent their properties.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              2,250,000  AED
                                                                  ",N/A,"
			Apartment
		",PB-S-0744,"
				11.41
				AED
				per
				sqft
			","1,583
						sqft
															 / 
										147
						sqm",Exclusive | 2 Beds | High Floor | Close to Mall,"
                Apartment for Sale in Al Anbara, Shoreline Apartments              ",7118872400
"
                      Furnished,
Balcony,
View of Landmark",O2 Residence,2,"2
							","O2 Residence is a highly reputable and superbly maintained tower, featuring a ground floor pool, jacuzzi and well equipped gym. It is located in Cluster O, right next to JLT Park and only a 5 minute walk from the Metro.
- 2 Bedroom Apartment 
- 1,522 Sq. Ft. 
- 2.5 Bathrooms 
- Exclusive to Allsopp and Allsopp
- Fully Upgraded and Furnished to High Standard 
- Vacant on Transfer 
- 1 Parking Space
- Two Balconies
- Emirates Living and Park View
- Agent: Milo Barber on +971503512582, RERA BRN No. 54874
JLT has a vast range of dining and shopping choices, with different options being on the doorstep of all the towers. There are great outdoor amenities including, JLT park, football and basketball courts, jogging routes, workout areas. It is also very pet friendly and has a dedicated dog park. JLT is situated next to the Sheikh Zayed Road, so great for commuters.
Reference: L-198216
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              1,750,000  AED
                                                                  ",N/A,"
			Apartment
		",L-198216,"
				13.59
				AED
				per
				sqft
			","1,522
						sqft
															 / 
										141
						sqm",Beautifully Upgraded | VOT | Exclusive,"
                Apartment for Sale in O2 Residence, Lake Elucio              ",7153285520
"
                      Furnished,
Balcony,
Built in Wardrobes,
Concierge,
Covered Parking,
Kitchen Appliances,
Maid Service,
Pets Allowed,
Security,
Shared Gym,
Shared Pool,
View of Landmark,
View of Water,
Walk-in Closet",Sulafa Tower,3,"2
							","Introducing This Large 2 Bedroom in Sulafa Tower On A High Floor
- 2 Bedroom
- 3 Bathrooms
- Spacious Layout
- 1 Balcony
- 1390 Sq. Ft.
- Property Rented for 95k untill april 2023.
- High Floor
- Pool/Gym
- 24 Hours Security
Spacious layout spread across 1390 sq. ft. property comes vacant and unfurnished and is on a higher floor. 2 bedroom with ensuite and a guest WC. Fully fitted kitchen. 2 Balconies.
Sulafa Tower is one of the most sought-after towers in Dubai Marina, offering easy access to Media City, JBR, and the Palm.
Sulafa Tower is a 75-storey residential building in Dubai Marina, Dubai.
The development contains a total of 702 units.
The building contains a mix of one-, two- and three-bedroom apartments as well as penthouses.
The project was developed by National Properties.
The project is located on plot 392-208.
From Sulafa Tower it takes roughly 17 minutes to drive to Dubai Mall, eight minutes to Palm Jumeirah, 14 minutes to Burj Al Arab and eight minutes to The Walk JBR.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,"
							Freehold
					","
                                              1,440,000  AED
                                                                  ","13 Years
			","
			Apartment
		",BHM-S-550085,"
				15.71
				AED
				per
				sqft
			","1,390
						sqft
															 / 
										129
						sqm",Sea View | Rented | Furnished | With Balcony,"
                Apartment for Sale in Sulafa Tower, Dubai Marina              ",6727235800
"
                      Unfurnished,
Built in Wardrobes,
Covered Parking",Act One | Act Two towers,2,"2
							","Unique Properties are pleased to offer you this 2 Bedroom Apartment that features a modern design, world-class amenities, and resort-style living. It offers a premium lifestyle for the whole family with residential amenities including state-of-the-art gymnasiums, swimming pools, children’s play areas and 24-hour security.
FEATURES:
* BUA: 1,209 sq.ft.
* Bedrooms: 2
* Bathrooms: 2
* Parking spaces: 1
* Floor to Ceiling windows
* Built-in Wardrobes
* Fully Fitted Kitchen
ACCESSIBILITY:
* 9 minutes to Dubai Mall
* 21 minutes to Palm Jumeirah
* 20 minutes to Burj Al Arab
* 25 minutes to The Walk JBR
* 30 minutes to Dubai Marina
* 32 minutes to Dubai International Airport (DXB)
THE COMMUNITY:
Downtown is an urban concept and upscale mixed-use community lending itself to vibrant living. Commercial, residential, hospitality, entertainment and leisure facilities rub shoulders with green spaces, water features, lakes, and fountains. Downtown sits adjacent to the Burj area, and its famous boulevard, iconic shopping mall, dancing fountains, and first-class amenities in the vicinity of the world’s tallest tower.
Why Unique Properties?
• EMAAR's Platinum Agent in 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020 and 2021
• DUBAI PROPERTIES' Top Broker of 2015, 2016, 2017, 2018, 2019, 2020 and 2021
• DUBAI PROPERTIES' No.1 Top Selling Agent in 2017, 2018 and 2020
• MERAAS Top Agent of 2018, 2019, 2020 and 2021
• NSHAMA's Top Agent of 2015, 2016 and 2020
• NAKHEEL’s Top Broker for 2021
• DAMAC's no. 1 Real Estate Agency in 2020
• DUBAI SOUTH Top Performing Agent 2016
• DANUBE PROPERTIES Premier Broker of 2015 and 2016
• PROPERTY FINDER’s outstanding online listings award winner 2014
For all property inquiries, please contact:
Hot Line Mobile No: +971524193888
Toll Free: 80018881
Email: Info@uniqueproperties.ae",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              3,100,000  AED
                                                                  ",N/A,"
			Apartment
		",UPS-3067,N/A,"1,209
						sqft
															 / 
										112
						sqm",Exclusive | Boulevard View | Ready March 2023,"
                Apartment for Sale in Act One | Act Two towers, Opera District              ",1772563787
"
                      Unfurnished,
Balcony,
Central A/C,
Covered Parking,
Maids Room,
Private Garden,
Private Jacuzzi,
Private Pool,
View of Water",Sector R,7+,"6
									+
					Maid			","Phoenix Homes Real Estate is delighted to present this bespoke 6-bedroom villa in the desirable Sector R of Emirates Hills.
This exclusive villa designed by Paul Bishop, is elegantly situated amidst private lush gardens that will certainly appeal to luxury property buyers searching for a forever family home.
Distinctly original, the extensive living space features every luxury detail imaginable. The marble flooring mirrors that of the Four Seasons in Paris, the imported hardwood flooring is from Sweden and the unique Berluti leather in the entertainment areas are but some of the outstanding designer details. Multiple formal living rooms, a show-stopping regal dining room and unique fireplace are in the primary entertainment space. A unique fireplace conveniently separates the indoor and outdoor bar areas. A double-height atrium connects to the family living and dining areas. The gourmet kitchen by Hacker includes every conceivable integrated appliance from Miele and Liebherr.
On the first floor the six bedrooms continue the deluxe design, as they all come with spa-like bathrooms, imported fixtures and fittings as well as exceptional views of the surrounding lakes and the golf course from their private balconies. The roof garden, with spacious seating area and Marina skyline views is the jewel in the crown of this remarkable villa.
The exterior is enhanced by the exquisite, landscaped gardens, various entertainment spaces and resort-style swimming pool with jacuzzi. This is a true entertainers paradise with separate service entrances, preparation areas and outside bathrooms. The home gym is also accessible from the second entrance. The front courtyard provides ample secure parking, in addition to the generous garage.
To discover this luxurious, designer villa for yourself, contact us today to arrange a viewing.",/en/plp/buy/villa-for-sale-dubai-arabian-ranches-alvorada-alvorada-3-9074045.html,N/A,"
                                              69,000,000  AED
                                                                  ",N/A,"
			Villa
		",phoenixhomes-3589544,N/A,"25,767
						sqft
															 / 
										2,394
						sqm",Full Golf Lake View/ Vacant/ Vastu/ Prime Location,"
                Villa for Sale in Sector R, Emirates Hills              ",6564955000
"
                      Unfurnished,
Balcony,
View of Landmark,
View of Water",Creek Horizon Tower 2,5,"4
							","4 Bedroom Penthouse. Skyline and Harbour Views
- Reference No. L-184914
- Vacant On Transfer
- 4 Bedrooms With En Suite Bathrooms
- Maid's Room With Bathroom
- Creek And Skyline Views
- Upgraded Living/Dining
- Upgraded Kitchen & Bathrooms
- Complimentary Pool & Gym Access
- Agent: Henry Daniels on +971585634688
RERA BRN No.: 45139
Allsopp & Allsopp Real Estate are excited to exclusively bring this rare, four bedroom penthouse apartment to the market. The Penthouse comprises of a large, open plan, living/dining room with an attached kitchen. Off from the living/dining room you have a powder room with the four bedrooms, all boasting en suite bedrooms. Skyline and marina views can be seen from all three balconies which have plenty of space for outdoor furniture.
Please call +971585634688 to arrange a viewing.
For further details please contact our Head Office on +9714294444.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/apartment-for-sale-dubai-majan-forum-residences-9253389.html,"
							Freehold
					","
                                              6,650,000  AED
                                                                  ","3 Years
			","
			Penthouse
		",L-184914,N/A,"3,048
						sqft
															 / 
										283
						sqm",Upgraded Four Bedroom Penthouse | VOT,"
                Penthouse for Sale in Creek Horizon, Creek Horizon Tower 2              ",71267635362
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Covered Parking,
Kitchen Appliances,
Maids Room,
Pets Allowed,
Private Garden,
Private Pool,
Study",Ponderosa,5,"5
									+
					Maid			","The Urban Nest proudly presents the perfect villa in Ponderosa, The Villa.Mazaya C1BUA of 6500 sqftPlot size of 9957 sqft5 bedrooms with a built-in wardrobeFully renovated German kitchenSpacious guest bedroom on the ground floor with a completely upgraded bathroomHuge family/living room and dining area.Renovated Swimming pool, shower area, and BBQ areaThe large family area upstairsOutdoor dirty kitchenTall trees and a quiet location for additional privacyMaid's room, laundry room, and storage roomFacing the park and close to the community centerThe Villa in Dubailand by Dubai Properties Group is fast becoming a popular residential location for families looking for luxurious living at affordable prices. It is easily accessible via main road routes and highways.Our clients are far more than just a transaction and by working with The Urban Nest you’ll see what a more rewarding real estate experience can be. Enquire now and experience Realty Done Really Well.For more information, visit us at theurbannest.ae ",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              6,949,888  AED
                                                                  ",N/A,"
			Villa
		",TUN-S-3786,N/A,"6,500
						sqft
															 / 
										604
						sqm",Upgraded Mazaya C1 | 5BHK | With Pool and Garden,"
                Villa for Sale in Ponderosa, The Villa              ",6571295500
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Kitchen Appliances,
Maids Room,
Pets Allowed,
Private Garden,
Private Pool",Ponderosa,5,"4
									+
					Maid			","The Urban Nest proudly presents this highly lovely villa in a tranquil section of The Villa at the heart of Dubailand.Cordoba E14 bedrooms plus 5 baths plus study roomBUA of 5200 sqftPlot size of 7965 sqftFormal living and dining areaOpen kitchen and 2 Balconies4-car garageClose to the main entrance and community centerannual maintenance contract on the villa.Close to Spinneys supermarket Close to Mosques, play areas, and kid's nursery and parkThe community is well equipped with its 2 mosques, nursery, 2 community centers, 2 large Spinneys, dry cleaners, melodica center, Gents and ladies salons, hospital, photo studio, children's play area, restaurants and coffee shops, and communal gardens. It also has a tennis court. Close to IMG park and Novo cinemas, New Cityland Mall. Well connected to Academic City and Silicon Oasis by the new D54 and also within minutes to the 311 and 611 highways.Our clients are far more than just a transaction and by working with The Urban Nest you'll see what a more rewarding real estate experience can be. Enquire now and experience Realty Done Really Well.For more information, visit us at theurbannest.ae ",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              5,000,000  AED
                                                                  ",N/A,"
			Villa
		",TUN-S-2949,N/A,"5,200
						sqft
															 / 
										483
						sqm",Best Location | Large E1 Cordoba | with Pool,"
                Villa for Sale in Ponderosa, The Villa              ",6541681220
"
                      Furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Private Jacuzzi,
Shared Gym,
Shared Pool,
View of Water",The Torch,2,"2
							","OBG Real Estate is pleased to offer this fully furnished and nicely upgraded 2BR apartment for sale in Torch Tower, Dubai Marina. PROPERTY SPECIFICATIONS:2 Bedrooms2 Bathrooms1,258 sq. ft. High FloorSemi Closed Kitchen LayoutRemodelled BathroomsSeparate Laundry and Storage RoomBuilt-in WardrobesRented until March 2023 at AED 140,000ABOUT THE TORCH TOWER:The Torch Tower is a residential skyscraper in Dubai Marina. It was completely handed over in May 2011. NEARBY LANDMARKS:Newly opened Fitness First in Marina Gate just across the building, Carrefour, Spinneys, Marina Walk, Barasti Beach, Le Meridien Hotel, Media City.Have issues with parking space for a viewing?Let our agent know in advance so we can assist you.Buyer's Fees:4% - DLD FeesAED 4,200 - Trustee FeesAED 590 - Title Deed Fee2% of the Sale price + 5% VAT = Agency FeePlease call/WhatsApp Rosey to book a viewing or to know more information about this listing.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,"
							Freehold
					","
                                              1,550,000  AED
                                                                  ","12 Years
			","
			Apartment
		",OBG-S-18589,"
				16.94
				AED
				per
				sqft
			","1,258
						sqft
															 / 
										117
						sqm",Good ROI | Exclusive Listing | Nicely Upgraded,"
                Apartment for Sale in The Torch, Dubai Marina              ",7130363300
"
                      Furnished,
Balcony,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Pets Allowed,
Private Garden,
Security,
Shared Pool,
Study,
View of Landmark,
Walk-in Closet",Kamoon 2,3,"3
							","McCone Properties is pleased to bring to the market this gorgeous fully-furnished, ground-floor spacious apartment with its own private garden, specifically to the contemporaneously aristocratic type of person. If that's you, you're going to be astonished.
To start with there's the asking price of AED 4,950,000. Sensible when you weigh it up against similar alternatives. At this price you also get incentives worth bearing in mind.
Then there's the hefty space, around 1,791.98 sq.ft and teeming with bright sunlight.
There's also the:
*   3 bedrooms including 3 gorgeously designed bathrooms
*   Noticeably bright living room
*   Laundry room, entrance hall, study room, family room, scullery a spacious private garden 
*   Atypically-sized closed-style kitchen with its integrated appliances, ideal for whipping up a storm
*   2 basement car park spaces
*   Paved garden
*   Tranquil community swimming pool, which means summertime reading and deckchairs.
Lastly, there's the patio with its view that looks out to the world-renowned Burj Khalifa.
Call Kerry Gore on +971521739877 now.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              4,950,000  AED
                                                                  ",N/A,"
			Apartment
		",MCC-S-5810,N/A,"1,792
						sqft
															 / 
										166
						sqm",Exclusive | Fully Upgraded | Private Garden,"
                Apartment for Sale in Kamoon 2, Kamoon              ",7118633000
"
                      Unfurnished,
Built in Wardrobes,
Children's Play Area,
Concierge,
Covered Parking,
Maids Room,
Pets Allowed,
Security,
Shared Gym,
Shared Pool,
Shared Spa",Noor Townhouses,4,"3
									+
					Maid			","Do you want to live in a tremendous 3 bedroom mid-terraced townhouse in an amazing gated location? If so, read on to find out why this is an opportunity you mustn't pass up.
 As you cross the threshold of this double-storeyed villa, you'll be able to envisage yourself welcoming every new morning browsing your social feeds, while beholding a view that overlooks an inspiring golden sunset.
Passing through the utilitarian 2,025.77 sq.ft floorplan, you'll discover a great deal of attractive attributes that include a superb L-shaped corner kitchen that is tailor-made for knocking up something yummy, and a master room that is not just for sleeping.
 It also benefits from a tantalizingly cool community swimming pool, a knee-deep children's pool and a sun-drenched swimming pool, which means tanning lotion and cool drinks. 
That's along with a basketball court, a jogging track, a children's playground, a gym, a private gym and a tennis court for your health and fitness related activities. That means you'll keep trim, all year round.
 I would be remiss if I didn't highlight the outdoor space, which includes a sun shaded terrace and a resplendent back garden, that is ideal for lounging after a long day.
With all this on offer, this is exactly the sort of home that you should take a moment to find out about. I strongly recommend viewing the property as soon as possible.
Drop me a line to find out more.
Call Paresh Kamlani from Homes 4 Life on Display phone number or email paresh@homes4life.ae to come and view.
Office Address: Retail Shop # 1, Safi Apartments 1B, Town Square Dubai",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              1,750,000  AED
                                                                  ",N/A,"
			Townhouse
		",homests-3625204,N/A,"2,025
						sqft
															 / 
										188
						sqm",CLOSE TO ENTRANCE | 3BR BACK TO BACK | TYPE 1,"
                Townhouse for Sale in Noor Townhouses, Town Square              ",6941195631
"
Balcony,
Private Garden,
Private Pool",Al Mahra,4,"5
							","Exclusive | 5 Bedrooms Plus Maid | BUA 4,850 Sq Ft | Central Location
- Type 11 Villa
- 4,850 Sq. Ft. BUA
- 6,863 Sq. Ft. Plot
- 5 Bedrooms + Maids Room
- Upstairs Family Room
- Upgraded Kitchen
- Central Location
- Opposite Pool And Park
- Vacant On Transfer
- Property Reference: DUB211987
- Agent: Greg Ware on +971585439865, RERA BRN No. 27615
This villa is a Type 11 which is one of the most popular layouts in the Arabian Ranches.
The villa has BUA of 4,850 Sq Ft. There are five bedrooms throughout the villa with one of the bedroom.
There is a large lounge downstairs and an upstairs family room. There is also a Dining Room off the Kitchen which has direct access to the garden.
The villa is located on a 6,863 Sq Ft Plot that is located opposite the pool and park.
The Villa is vacant on Transfer.
Please call Greg Ware on +971585439865 for more information or to arrange a viewing.
Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              5,999,999  AED
                                                                  ",N/A,"
			Villa
		",DUB211987,N/A,"4,850
						sqft
															 / 
										451
						sqm",Exclusive | Vacant On Transfer | 4850 Sq Ft,"
                Villa for Sale in Al Mahra, Arabian Ranches              ",6599480000
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Concierge,
Covered Parking,
Kitchen Appliances,
Maids Room,
Security,
Shared Gym,
Shared Pool,
View of Landmark,
View of Water",Jumeirah Gate Tower 2,4,"3
									+
					Maid			","- Fully furnished and serviced apartment
- The Address, Dubai’s premium hotel brand
- Most sought after layout S3A
- Exclusive listing - agents welcome
- Stunning panoramic sea views
- All bedrooms come with en-suite bathrooms
- World class onsite facilities and restaurants
- Private beach access
- 75th floor gym with incredible views
- Walking distance to Bluewater and JBR
- Call now for more details
haus & haus is delighted to present this sought after apartment type S3A in the prime beach destination, Address Beach Resort. A short stroll from all on offer at Bluewater Island and JBR Walk, you are spoilt for a choice of restaurants, activities and water sports. There is something for everyone in this prime district of Dubai.
The property offers unrivalled views, the pictures just don’t compare to seeing it with your own eyes, taking in the many wonders of Dubai. The interiors, inspired by Dolce Vita encompass the soft tones of the sea, sky and sand, offering comfort and style that complement the views beautifully.
Call Steven (BRN 33119) on +971502770078 for more information, to arrange a viewing or to make an offer.
For further details, please drop into our flagship office at the Gold & Diamond Park - or browse the incredible selection of properties we maintain at the haus & haus website. Our specialist brokers will be happy to answer any industry related query you have",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,"
							Leasehold
					","
                                              10,750,000  AED
                                                                  ","2 Years
			","
			Apartment
		",OPN220324,N/A,"1,864
						sqft
															 / 
										173
						sqm",Serviced | Amazing Views | Type S3A | Vacant,"
                Apartment for Sale in Jumeirah Gate Tower 2, The Address Jumeirah Resort and Spa              ",7135298270
,Bellevue Tower 1,2,"2
							","Full Burj Khalifa View2 Bed2.5 BathroomParkingSemi Closed KitchenRetail units at Ground LevelGym facilities with a viewCommunity spacesSwimming poolKids playing areaHandover CompleteHouse Hunters are delighted to bring to the sales market this brand new 2 bedroom apartment centrally located close to Dubai Mall and the surrounding business district. This corner unit comes to the market with stunning Burj Khalifa views from both the living room and master bedroom. Comprising of entrance hallway with one double ensuite bedroom to the side and separate guest WC, leading through to semi closed kitchen/living room offering stunning views of the Burj Khalifa and Downtown District. Bellevue Tower is located close to Dubai Mall with easy access to all major routes.  A delightful selection of recreational activities and restaurants, cafes and convenience stores are all within easy walking distance. The Tower is complete with full gym and swimming pool and playground area for young children. A really great investment option or ideal home fora  professional couple.  Permit no.71156362130",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,"
							Leasehold
					","
                                              2,150,000  AED
                                                                  ","3 Years
			","
			Apartment
		",HH-S-7348,N/A,"1,024
						sqft
															 / 
										95
						sqm",Exclusive | Brand New |Two Bed Apt |,"
                Apartment for Sale in Bellevue Tower 1, Bellevue Towers              ",71156362130
"
                      Unfurnished,
Balcony,
Barbecue Area,
Built in Wardrobes,
Central A/C,
Children's Play Area,
Covered Parking,
Private Garden,
Private Pool,
Security,
Study,
View of Landmark,
Walk-in Closet",Flame Tree Ridge,6,"5
							","Strada are delighted to introduce for sale this 5 bedroom villa located in Flame Tree Ridge, Jumeirah Golf estate.
- 5 Bedroom
- 6 Bathroom
- Vacant
- 5647 Sq. Ft. BUA
- Large Plot
- Golf View
- Maids Room
- Contact Annabelle Acomb on +971585380400 for more information or to book a viewing.
This 5 bedroom villa is situated directly on the fire course in Flame Tree Ridge, it sits on a large plot and boasts a spacious garden and private pool.
The downstairs of the property offers a huge open space living and dining area with by-folding doors opening up-to the garden area, kitchen area, a downstairs bedroom with en suite and a maids quarters.
The Upstairs offers a large landing area, a master bedroom with en suite, and three smaller bedrooms.
For further information or to book a viewing please contact Annabelle Acomb on +971585380400.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              11,000,000  AED
                                                                  ",N/A,"
			Villa
		",FT5,N/A,"5,647
						sqft
															 / 
										525
						sqm",Golf Course View | Five Bedroom | Large Plot,"
                Villa for Sale in Flame Tree Ridge, Fire              ",6584644970
"
                      Unfurnished,
Balcony,
Built in Wardrobes,
Central A/C,
Covered Parking,
Maids Room,
Private Garden,
Private Pool,
Study",The Centro,4,"4
									+
					Maid			",Excellent location4 bed Study room2 family roomsMaids roomPrivate poolWe are delighted to offer this lovely Cordoba villa located in Centro in The Villa project.  The property is in excellent condtion.  On entering the property you will find a very large size formal living and dining room.  The ground floor has a good sized study room.  An open plan kitchen has an attached family room perfect for entertaining.On the first floor the bedrooms are all large in size with the master bedroom having a very large en-suite bathroom and balcony. An additional family room is located on the first floor.The garden is a great size and offers a lovely private pool.This property is the perfect size family home.  Call today to view.We were one of the first companies to register with the Dubai Lands Department (RERA reg no 294) and all our agents are RERA trained and carry brokers cards allowing them to sell and rent your properties.Permit no.6526961900,/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              4,800,000  AED
                                                                  ",N/A,"
			Villa
		",HHRE-S-9881,N/A,"5,770
						sqft
															 / 
										536
						sqm",Cordoba| 4 bed |Centro The Villa | Private pool,"
                Villa for Sale in The Centro, The Villa              ",6526961900
"
                      Unfurnished,
Balcony,
Covered Parking,
Maids Room,
Private Pool,
Security,
Study",Family Villas,6,"4
									+
					Maid			","- Exclusive Listing
- Fully Upgraded
- King Size Master Bedroom
- Walk in Wardrobe / Dressing Room
- Extended Outhouse
- Temperature Controlled Private Pool
- Plot 11,888 sqft
- BUA 6,500 sqft
haus & haus and Asim Sheikh are thrilled to bring onto the market this truly one of a kind villa in Green Community West, Dubai Investment Park.
This villa has been completely renovated throughout to the highest standard. The owners have remodelled the first floor bedroom configuration to 3 bedrooms, with the master bedroom being a king suite including a huge walk in wardrobe/dressing room.
The garden has been perfectly landscaped with an additional outhouse and temperature controlled pool.
Call Asim (BRN: 34452) on +971504940897 for more information, to arrange a viewing or to make an offer.
Finance is available on this property through haus & haus partners. Please speak to us for more information.
For further details, please drop into our flagship office at the Gold & Diamond Park - or browse the incredible selection of properties we maintain at the haus & haus website. Our specialist brokers will be happy to answer any industry related query you have.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              Ask for price                                          ",N/A,"
			Villa
		",DBI212324,N/A,"6,500
						sqft
															 / 
										604
						sqm",Exclusive Listing | One of a kind villa | Outhouse,"
                Villa for Sale in Family Villas, Green Community West              ",6968198150
"
                      Unfurnished,
Balcony,
Barbecue Area,
Central A/C,
Children's Play Area,
Concierge,
Covered Parking,
Kitchen Appliances,
Shared Gym,
Shared Pool",The Fairways West,2,"2
							","EXCLUSIVE | Golf Course & Lake View | High Floor- 2 Bedroom- 2 Bathroom- Full Golf Course View- Tenanted- 1 Parking- Approx 1,458 Sq.Ft- Agent: Michael Railes +971501137016- BRN: 43145- RERA Permit: 7124465500Williams International Real Estate is pleased to offer for sale this 2 bedroom apartment in Fairways West, The Views.The property has a large open plan/living and dining area with floor to ceiling windows allowing for plenty of natural sunlight and views over Emirates Golf Course and Dubai Marin Skyline and The Lake.Large laundry area and storage space in entry foyer, 2 generously sized bedrooms with the master having en-suite, both have access to the balcony which wraps around the whole apartment.The property is currently tenanted and viewings can be arranged through appointment.To arrange a viewing on this property please contact Michael Railes +971501137016.Company Name: Williams International Real EstateRERA ORN: 26502Office 506, Icon Tower, Barsha Heights, Dubai.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              2,150,000  AED
                                                                  ",N/A,"
			Apartment
		",WIL-S-5538,N/A,"1,458
						sqft
															 / 
										135
						sqm","HIGH FLOOR | GOLF & LAKE VIEWS |1,458 SQ.FT","
                Apartment for Sale in The Fairways West, The Fairways              ",7124465500
"
                      Unfurnished,
Private Garden,
Study",Al Reem 3,3,"3
							","Treo Homes is very pleased to be bringing to the market our latest listing in Al Reem 3, A beautifully presented 3M villa in the sought-after community of Arabian Ranches 1. The ground floor of this villa features an open-plan kitchen, a study room, and a bathroom which has been upgraded. The master bedroom is located on the first floor, which includes an en-suite bathroom, a spacious walk-in wardrobe, and a balcony offering stunning views of the community. On the first floor, you'll also find a further bathroom and 2 more spacious bedrooms.
Features
- Partially Upgraded
- 3 Bedrooms
- Study Room
- Walk-in Wardrobe 
- Close to Pool and Lake
- Quite Location
- Well Maintained Garden
- Large plot
This property is located close to the community pool and lake. Arabian Ranches is Home to the popular JESS school, the Ranches Golf course, and the community center. 
Get in touch and book a viewing today.",/en/plp/buy/apartment-for-sale-dubai-greens-al-sidir-al-sidir-1-9211600.html,N/A,"
                                              3,150,000  AED
                                                                  ",N/A,"
			Villa
		",TREO-S-17601,N/A,"2,571
						sqft
															 / 
										239
						sqm",Partially upgraded | Single row | 3M,"
                Villa for Sale in Al Reem 3, Al Reem              ",6914611000
